City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
minot,90,US,1570036021,75,48.23,-101.3,41,8.05
kununurra,0,AU,1570036207,38,-15.77,128.74,73.4,3.36
hounde,72,BF,1570036208,77,11.5,-3.52,80.08,3.8
qingdao,0,CN,1570036098,67,36.09,120.35,62.6,4.47
zonguldak,0,TR,1570036208,88,41.25,31.83,64.4,9.31
gogrial,,,,,,,,
cherepovets,20,RU,1570036208,100,59.13,37.92,41,4.47
agadez,20,NE,1570036209,24,16.97,7.99,102.2,11.41
olinda,0,AU,1570036209,34,-37.84,145.39,64.4,19.46
kostino,40,BG,1570036209,47,41.7,25.3,77,3.36
longyearbyen,75,NO,1570036209,86,78.22,15.63,30.2,11.41
gazanjyk,0,TM,1570036209,20,39.24,55.52,65.5,9.93
fort walton beach,1,US,1570036210,66,30.41,-86.62,93.99,6.93
nazas,20,MX,1570036210,55,25.22,-104.11,73.96,8.55
natal,40,BR,1570036210,62,-5.81,-35.21,84.2,17.22
kangaatsiaq,97,GL,1570036210,60,68.31,-53.46,44.44,13.13
tiarei,40,PF,1570036211,73,-17.53,-149.33,73.4,3.36
cloquet,90,US,1570036211,70,46.72,-92.46,46.99,14.99
ellensburg,1,US,1570036211,65,47,-120.55,46,3.36
lisakovsk,100,KZ,1570036211,44,52.55,62.49,44.8,6.98
talara,0,PE,1570036211,290,-4.58,-81.27,62.6,18.34
bokspits,,,,,,,,
ji-parana,,,,,,,,
mananjary,100,MG,1570036212,65,-19.16,46.8,68.2,3.38
dongsheng,0,CN,1570036212,54,29.72,112.52,73.96,2.73
burla,0,RU,1570036212,61,53.34,78.33,42.64,5.64
nyrob,8,RU,1570036213,92,60.74,56.73,42.1,7.49
guerrero negro,0,MX,1570036213,73,27.97,-114.04,66.58,8.9
praia da vitoria,40,PT,1570036213,65,38.73,-27.07,80.6,23.78
piacabucu,0,BR,1570036213,68,-10.41,-36.43,81.16,14.54
dawlatabad,0,AF,1570036213,25,36.41,64.91,59.92,6.64
najran,20,SA,1570036214,27,17.54,44.22,86,9.17
bacau,0,RO,1570036214,73,46.57,26.9,72,9.17
marawi,94,PH,1570036214,88,8,124.29,75,5.01
urucara,70,BR,1570036214,25,-2.54,-57.76,101.5,6.02
chake chake,97,TZ,1570036215,84,-5.25,39.77,79.54,11.74
khor,87,RU,1570036215,87,47.88,134.96,56.14,10.67
oranjemund,0,ZA,1570036265,92,-28.55,16.43,58.12,8.19
beaverlodge,20,CA,1570036265,80,55.21,-119.43,41,5.17
vardo,20,US,1570036266,40,39.62,-77.74,91.99,12.75
okhotsk,57,RU,1570036266,53,59.36,143.24,29.5,17.34
paita,0,PE,1570036266,290,-5.09,-81.11,62.6,18.34
buchanan,75,LR,1570036266,83,5.88,-10.05,82.4,5.82
tazovskiy,99,RU,1570036266,96,67.47,78.7,37.96,11.43
north bend,1,US,1570036267,81,43.41,-124.22,54,8.05
xinzhou,0,CN,1570036267,56,38.41,112.73,61.36,0.92
palo alto,5,US,1570036206,51,37.44,-122.16,66,3.36
louisbourg,,,,,,,,
kushva,100,RU,1570036267,91,58.28,59.76,47.32,13.65
visby,0,SE,1570036268,81,57.64,18.3,46,2.24
thinadhoo,69,MV,1570036268,80,0.53,72.93,82.96,16.67
tarudant,,,,,,,,
villazon,,,,,,,,
salalah,40,OM,1570036268,83,17.01,54.1,80.6,8.05
klaksvik,75,FO,1570036269,75,62.23,-6.59,46.4,8.05
karkaralinsk,,,,,,,,
lazaro cardenas,75,MX,1570036269,82,28.39,-105.62,70,1.57
sorland,75,NO,1570036269,65,67.67,12.69,44.6,20.8
svetlyy,,,,,,,,
areosa,0,PT,1570036269,63,41.72,-8.86,66.2,12.75
calvinia,95,ZA,1570036200,33,-31.47,19.78,60.82,3.04
riyadh,20,SA,1570036270,26,24.63,46.72,91.4,3.71
ust-kuyga,100,RU,1570036258,85,70,135.55,25,13.04
nanakuli,90,US,1570036270,78,21.39,-158.15,80.6,16.11
sire,100,ET,1570036270,87,8.28,39.49,61.36,7.49
chihuahua,75,MX,1570036271,82,28.66,-106.08,70,2.77
utinga,75,BR,1570036271,51,-5.82,-35.4,84.2,18.34
anadyr,20,RU,1570036271,86,64.73,177.51,30.2,15.66
santa margherita ligure,20,IT,1570036271,73,44.33,9.21,73.99,4.7
goderich,100,CA,1570036271,93,43.74,-81.71,60.01,5.99
yumen,100,CN,1570036272,18,40.29,97.04,56.5,12.88
swan river,78,CA,1570036272,72,52.11,-101.27,38.14,5.77
mareeba,75,AU,1570036272,83,-16.99,145.42,71.6,9.17
lambarene,68,GA,1570036272,87,-0.7,10.22,75.76,3.53
udachnyy,41,RU,1570036273,89,66.42,112.4,19.06,6.24
heihe,20,RU,1570036273,55,50.24,127.51,37.4,11.18
kahului,20,US,1570036144,78,20.89,-156.47,77,6.93
bela,67,PK,1570036090,59,26.23,66.31,81.16,10.38
coihaique,40,CL,1570036273,49,-45.58,-72.07,46.4,4.7
phalaborwa,0,ZA,1570036273,48,-23.95,31.14,67.66,7.4
abbeville,0,FR,1570036274,58,50.11,1.83,53.6,12.75
komsomolskiy,100,RU,1570036199,79,67.55,63.78,41.38,22.06
siwani,,,,,,,,
porto novo,0,BR,1570036274,29,-23.68,-45.44,89.6,5.82
barga,40,IT,1570036274,64,44.07,10.48,70,9.17
flinders,0,AU,1570036275,76,-34.58,150.85,62.01,6.93
jacareacanga,20,BR,1570036275,52,-6.22,-57.76,93.2,3.36
bolungarvik,,,,,,,,
katsuura,75,JP,1570036275,78,33.93,134.5,77,27.51
college,90,US,1570036275,86,64.86,-147.8,37.4,2.35
curup,88,ID,1570036276,90,-3.47,102.53,66.04,1.81
bentiu,,,,,,,,
tabuk,100,PH,1570036276,94,17.41,121.44,62.98,2.71
dzaoudzi,75,YT,1570036276,74,-12.79,45.27,80.6,4.7
sandy bay,75,AU,1570036276,76,-42.9,147.33,53.01,3.36
mount isa,0,AU,1570036277,14,-20.73,139.49,71.6,5.82
the valley,56,AI,1570036277,66,18.22,-63.06,89.01,4
ovalle,24,CL,1570036232,33,-30.6,-71.2,65.32,16.98
calaba,,,,,,,,
rawson,0,AR,1570036327,18,-43.3,-65.11,56.14,9.04
kerman,20,IR,1570036168,5,30.29,57.06,77,11.41
virginia beach,1,US,1570036287,55,36.85,-75.98,91.99,10.29
sakaiminato,75,JP,1570036328,65,35.55,133.23,77,12.75
miraflores,0,PE,1570036328,37,-16.39,-71.52,68,10.29
labrea,,,,,,,,
kaka,0,TM,1570036328,37,37.35,59.62,57.22,1.52
sumbawa,,,,,,,,
saint-augustin,75,CA,1570036132,62,45.63,-73.98,55,5.82
osterburg,15,DE,1570036329,76,52.79,11.75,51.01,1.99
whitehorse,75,CA,1570036329,93,60.72,-135.06,44.01,5.82
balkhash,0,KZ,1570036329,20,46.84,74.98,45.7,14.99
adre,45,TD,1570036330,30,13.47,22.2,82.24,4.68
vasto,75,IT,1570036330,82,42.12,14.71,72,6.93
semporna,75,MY,1570036083,94,4.48,118.61,73.4,2.24
benito juarez,75,CU,1570036330,78,22.29,-79.63,80.6,6.93
marsh harbour,0,BS,1570036330,78,26.54,-77.06,80.62,17.49
belaya gora,100,RU,1570036331,78,68.54,146.19,27.52,24.83
gambela,100,ET,1570036331,84,8.25,34.59,68.56,5.23
palana,100,RU,1570036331,89,59.08,159.95,42.82,15.86
kloulklubed,90,PW,1570036331,94,7.04,134.26,75.2,8.05
sheffield,40,GB,1570036078,62,53.38,-1.47,55,8.05
kundiawa,92,PG,1570036332,97,-6.02,144.97,50.74,1.5
prainha,17,BR,1570036332,35,-1.8,-53.48,98.08,7.7
oshikango,17,NA,1570036332,8,-17.39,15.89,93.2,6.93
saravan,0,AM,1570036332,28,39.72,45.65,71.6,2.04
santa cruz,1,BR,1570036271,39,-6.22,-36.02,87.64,14.41
emerald,0,AU,1570036333,77,-23.53,148.16,64.4,6.93
kasrawad,7,IN,1570036333,92,22.12,75.61,75.58,6.51
sosnovo,74,RU,1570036333,93,60.56,30.25,41,5.12
wiang sa,63,TH,1570036333,94,8.64,99.37,73.96,0.6
nuevitas,75,CU,1570036333,74,21.55,-77.27,82.4,4.7
codrington,0,AU,1570036334,87,-28.95,153.24,48.99,2.15
mukdahan,0,TH,1570036334,67,16.54,104.73,74.68,1.28
colquechaca,100,BO,1570036334,35,-18.7,-66,51.64,15.05
celestun,8,MX,1570036334,78,20.87,-90.4,81.88,12.15
togur,97,RU,1570036334,74,58.36,82.83,41.02,10.98
tumannyy,,,,,,,,
saint-paul,53,FR,1570036335,81,45.22,1.9,60.01,1.99
san cristobal,85,HN,1570036335,51,14.68,-86.92,81.34,5.53
preobrazheniye,100,RU,1570036335,86,42.9,133.91,60.64,1.59
blagodatnoye,0,RU,1570036336,67,51.57,35.54,57.2,8.95
saleaula,,,,,,,,
fare,47,PF,1570036336,78,-16.7,-151.02,76.12,19.71
ibipeba,38,BR,1570036336,31,-11.64,-42.01,83.32,3.91
napoleon,90,US,1570036055,65,41.39,-84.13,84,8.05
sao felix do xingu,99,BR,1570036336,70,-6.64,-51.99,82.06,4.23
uglekamensk,100,RU,1570036337,98,43.22,133.23,55.24,1.81
vila,0,IT,1570036337,56,45.18,8.4,75.2,6.93
canmore,75,CA,1570036337,59,51.09,-115.35,42.01,3.36
viligili,,,,,,,,
akot,0,IN,1570036337,85,21.09,77.05,75.76,4.81
santa marta,90,CO,1570036338,70,11.24,-74.21,87.8,4.7
horadiz,0,AZ,1570036338,77,39.45,47.33,66.2,6.93
canutama,89,BR,1570036338,34,-6.53,-64.38,98.8,4.47
toora-khem,0,RU,1570036338,71,52.47,96.11,22.66,1.48
kula,75,RS,1570036338,53,45.61,19.53,73.4,4.7
clearlake,1,US,1570036339,50,38.96,-122.63,64.99,3.36
tupik,47,RU,1570036389,85,54.43,119.94,24.28,0.43
saginaw,90,US,1570036369,87,43.42,-83.95,59,16.11
valley city,75,US,1570036389,100,46.92,-98,39.2,12.75
lang son,4,VN,1570036390,92,21.83,106.73,71.08,2.91
yagodnoye,33,RU,1570036390,81,62.52,149.63,15.28,3.47
weligama,15,LK,1570036390,79,5.97,80.42,82.06,13.24
cockburn town,40,TC,1570036343,74,21.46,-71.14,84.2,5.82
burdur,75,TR,1570036390,77,37.72,30.29,72,8.05
ulaangom,0,MN,1570036390,44,49.98,92.07,30.22,0.56
vidalia,1,US,1570036391,55,31.57,-91.43,91.99,5.82
chickasha,40,US,1570036391,58,35.05,-97.94,86,16.11
vicente guerrero,40,MX,1570036391,43,16.93,-96.7,73.4,3.36
loding,75,DE,1570036391,87,48.05,12.68,55.99,3.36
labuhan,19,ID,1570036392,93,-2.54,115.51,71.44,1.66
turukhansk,100,RU,1570036392,97,65.8,87.96,38.32,5.88
alofi,89,NU,1570036392,100,-19.06,-169.92,64.4,11.27
niquelandia,2,BR,1570036392,12,-14.47,-48.46,104.02,2.48
luena,0,AO,1570036392,51,-11.78,19.91,84.2,5.82
touros,75,BR,1570036140,51,-5.2,-35.46,84.2,18.34
lethem,82,GY,1570036393,38,3.38,-59.8,95.2,8.46
nsanje,99,MZ,1570036393,82,-16.92,35.26,69.28,11.16
hasaki,40,JP,1570036393,93,35.73,140.83,62.01,2.24
marsassoum,75,SN,1570036393,63,12.83,-15.98,91.4,9.17
lewistown,75,US,1570036394,78,40.39,-90.15,84.2,8.05
waspan,,,,,,,,
fethiye,20,TR,1570036394,83,36.62,29.12,77,2.24
guapi,94,CO,1570036394,87,2.57,-77.89,80.44,5.7
leh,0,IN,1570036203,32,34.16,77.58,34.18,1.92
casper,90,US,1570036265,93,42.87,-106.31,39.2,6.93
maningrida,73,AU,1570036395,93,-12.05,134.23,66.4,6.29
barentu,82,ER,1570036395,58,15.11,37.59,80.08,3.47
waipawa,22,NZ,1570036387,84,-39.94,176.59,39,1.99
kruisfontein,100,ZA,1570036395,48,-34,24.73,64.24,5.59
esik,40,KZ,1570036395,75,43.36,77.47,44.6,2.24
senador guiomard,75,BR,1570036396,58,-10.15,-67.74,87.8,2.24
